#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
0.91403,0.00030608,0.00036058,0.00092181,0.0015898,0.0017302,4.4737e-06,0.0024526
0.92676,0.00030876,0.0003579,0.00079828,0.0014661,0.0015596,4.2467e-06,0.002211
0.93966,0.00031102,0.00035565,0.00069431,0.001362,0.0014161,4.0183e-06,0.0020076
0.95275,0.00031295,0.00035372,0.00060562,0.0012731,0.0012937,3.7963e-06,0.0018342
0.96602,0.00031461,0.00035206,0.0005291,0.0011965,0.0011881,3.5849e-06,0.0016846
0.97947,0.00031606,0.00035061,0.00046244,0.0011297,0.0010962,3.3856e-06,0.0015542
0.99311,0.00031733,0.00034934,0.00040386,0.0010711,0.0010154,3.1989e-06,0.0014397
1.0069,0.00031846,0.00034821,0.00035199,0.0010191,0.00094389,3.0246e-06,0.0013383
1.021,0.00031946,0.00034721,0.00030577,0.00097281,0.00088017,2.8621e-06,0.001248
1.0352,0.00032036,0.00034631,0.00026433,0.00093131,0.00082305,2.7108e-06,0.001167
1.0496,0.00032117,0.0003455,0.00022699,0.0008939,0.00077158,2.5698e-06,0.001094
1.0642,0.00032191,0.00034476,0.00019317,0.00086002,0.00072497,2.4384e-06,0.0010279
1.079,0.00032257,0.00034409,0.00016241,0.00082921,0.00068259,2.3158e-06,0.00096778
1.0941,0.00032318,0.00034348,0.00013432,0.00080108,0.00064389,2.2013e-06,0.00091289
1.1093,0.00032374,0.00034292,0.00010858,0.00077529,0.00060843,2.0942e-06,0.0008626
1.1247,0.00032426,0.00034241,8.4921e-05,0.00075159,0.00057583,1.994e-06,0.00081636
1.1404,0.00032473,0.00034194,6.3103e-05,0.00072973,0.00054577,1.9001e-06,0.00077372
1.1563,0.00032517,0.0003415,4.293e-05,0.00070952,0.00051798,1.812e-06,0.00073429
1.1724,0.00032558,0.00034109,2.4237e-05,0.00069078,0.00049221,1.7292e-06,0.00069774
1.1887,0.00032595,0.00034071,6.9433e-06,0.00067336,0.00046827,1.6513e-06,0.00066377
1.2053,0.0003263,0.00034036,9.4772e-06,0.00065714,0.00044597,1.5779e-06,0.00063213
1.222,0.00032663,0.00034003,2.4534e-05,0.000642,0.00042515,1.5087e-06,0.0006026
1.2391,0.00032694,0.00033973,3.8656e-05,0.00062784,0.00040569,1.4434e-06,0.00057498
1.2563,0.00032723,0.00033944,5.1892e-05,0.00061458,0.00038745,1.3818e-06,0.00054911
1.2738,0.0003275,0.00033917,6.4315e-05,0.00060213,0.00037034,1.3234e-06,0.00052484
1.2915,0.00032775,0.00033892,7.5993e-05,0.00059043,0.00035426,1.2682e-06,0.00050202
1.3095,0.00032799,0.00033868,8.6986e-05,0.00057942,0.00033913,1.2158e-06,0.00048054
1.3278,0.00032821,0.00033845,9.7349e-05,0.00056904,0.00032486,1.1662e-06,0.0004603
1.3463,0.00032843,0.00033824,0.00010713,0.00055924,0.00031139,1.119e-06,0.00044119
1.365,0.00032863,0.00033804,0.00011637,0.00054998,0.00029866,1.0742e-06,0.00042313
1.384,0.00032882,0.00033785,0.00012512,0.00054122,0.00028662,1.0317e-06,0.00040604
1.4033,0.000329,0.00033767,0.00013341,0.00053292,0.00027522,9.9113e-07,0.00038986
1.4228,0.00032917,0.0003375,0.00014126,0.00052505,0.0002644,9.5253e-07,0.00037451
1.4426,0.00032933,0.00033734,0.00014872,0.00051758,0.00025414,9.1576e-07,0.00035994
1.4627,0.00032948,0.00033718,0.0001558,0.00051048,0.00024438,8.8068e-07,0.0003461
1.4831,0.00032963,0.00033704,0.00016254,0.00050373,0.00023511,8.4722e-07,0.00033294
1.5038,0.00032977,0.0003369,0.00016895,0.00049731,0.00022628,8.1526e-07,0.00032042
1.5247,0.0003299,0.00033676,0.00017506,0.00049119,0.00021787,7.8473e-07,0.00030849
1.5459,0.00033003,0.00033664,0.00018089,0.00048536,0.00020986,7.5555e-07,0.00029711
1.5675,0.00033015,0.00033652,0.00018644,0.00047979,0.00020221,7.2763e-07,0.00028626
1.5893,0.00033027,0.0003364,0.00019174,0.00047448,0.00019491,7.0092e-07,0.0002759
1.6114,0.00033038,0.00033629,0.00019681,0.0004694,0.00018794,6.7534e-07,0.00026601
1.6339,0.00033048,0.00033619,0.00020165,0.00046455,0.00018127,6.5084e-07,0.00025655
1.6566,0.00033058,0.00033609,0.00020629,0.00045991,0.0001749,6.2736e-07,0.0002475
1.6797,0.00033068,0.00033599,0.00021072,0.00045547,0.00016879,6.0484e-07,0.00023884
1.7031,0.00033077,0.0003359,0.00021497,0.00045122,0.00016295,5.8324e-07,0.00023054
1.7268,0.00033086,0.00033581,0.00021904,0.00044714,0.00015735,5.6252e-07,0.0002226
1.7508,0.00033094,0.00033572,0.00022294,0.00044324,0.00015198,5.4262e-07,0.00021498
1.7752,0.00033102,0.00033564,0.00022668,0.00043949,0.00014683,5.2351e-07,0.00020767
1.7999,0.0003311,0.00033556,0.00023027,0.00043589,0.00014189,5.0515e-07,0.00020066
1.825,0.00033118,0.00033549,0.00023371,0.00043244,0.00013715,4.8751e-07,0.00019393
1.8504,0.00033125,0.00033542,0.00023702,0.00042913,0.00013259,4.7054e-07,0.00018747
1.8762,0.00033132,0.00033535,0.0002402,0.00042594,0.00012822,4.5422e-07,0.00018125
1.9023,0.00033138,0.00033528,0.00024326,0.00042288,0.00012401,4.3852e-07,0.00017528
1.9288,0.00033145,0.00033522,0.0002462,0.00041993,0.00011996,4.2342e-07,0.00016954
1.9557,0.00033151,0.00033516,0.00024903,0.0004171,0.00011607,4.0887e-07,0.00016402
1.9829,0.00033157,0.0003351,0.00025175,0.00041437,0.00011232,3.9487e-07,0.0001587
2.0105,0.00033163,0.00033504,0.00025437,0.00041175,0.00010872,3.8138e-07,0.00015359
2.0385,0.00033168,0.00033499,0.00025689,0.00040922,0.00010525,3.6838e-07,0.00014866
2.0669,0.00033173,0.00033493,0.00025932,0.00040679,0.0001019,3.5585e-07,0.00014391
2.0957,0.00033178,0.00033488,0.00026167,0.00040444,9.8679e-05,3.4378e-07,0.00013934
2.1248,0.00033183,0.00033483,0.00026392,0.00040218,9.5572e-05,3.3214e-07,0.00013493
