#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
0.67426,0.00040177,0.00026489,0.0035428,0.0027597,0.00049372,0.0027919,0.0033737
0.68365,0.00043964,0.00022703,0.005342,0.0044457,3.9563e-06,0.0048998,0.0046753
0.69317,0.00062133,4.541e-05,0.013996,0.012516,0.0027714,0.015335,0.010602
0.70282,5.6433e-05,0.00061024,0.012939,0.012541,0.0064536,0.017559,0.007367
0.71261,0.00025467,0.00041199,0.0035015,0.0037315,0.0034776,0.0062152,0.00086047
0.72253,0.00029487,0.00037179,0.0016021,0.0019312,0.0030839,0.0040776,0.00062122
0.7326,0.00031359,0.00035308,0.00073299,0.0010762,0.0030969,0.0032364,0.0014667
0.7428,0.0003258,0.00034087,0.00018616,0.00049788,0.0032927,0.0028402,0.0021713
0.75314,0.00033574,0.00033093,0.00023152,2.8013e-06,0.0036011,0.0026506,0.0028798
0.76363,0.00034488,0.00032179,0.00057044,0.00051019,0.003885,0.0025216,0.0035791
0.77426,0.00035109,0.00031557,0.00070013,0.00096091,0.003509,0.0021322,0.0037577
0.78505,0.00034051,0.00032616,2.0195e-05,0.00067363,0.00042519,0.00062097,0.0013004
0.79598,0.00030795,0.00035871,0.0013818,0.00092843,0.0045044,0.0014953,0.0037548
0.80706,0.00029502,0.00037165,0.0017173,0.0018008,0.0054218,0.0018215,0.005263
0.8183,0.00029758,0.00036909,0.0014546,0.0018343,0.0044678,0.001407,0.0046244
0.8297,0.00030252,0.00036415,0.001162,0.0016747,0.0035248,0.0010279,0.0038029
0.84125,0.00030685,0.00035981,0.00093125,0.0015076,0.0028293,0.00076253,0.0031484
0.85296,0.00031031,0.00035636,0.00075545,0.0013653,0.0023281,0.00058044,0.0026551
0.86484,0.00031306,0.0003536,0.00061941,0.0012483,0.0019588,0.00045263,0.0022798
0.87689,0.00031528,0.00035139,0.0005116,0.0011521,0.0016789,0.00036032,0.0019879
0.8891,0.00031709,0.00034957,0.00042418,0.0010721,0.001461,0.00029182,0.0017556
0.90148,0.00031861,0.00034806,0.00035186,0.0010047,0.0012873,0.00023978,0.0015668
0.91403,0.0003199,0.00034677,0.00029101,0.0009472,0.001146,0.00019945,0.0014108
0.92676,0.000321,0.00034567,0.00023907,0.00089767,0.0010291,0.00016763,0.0012797
0.93966,0.00032195,0.00034471,0.0001942,0.00085454,0.00093098,0.00014216,0.0011681
0.95275,0.00032279,0.00034388,0.00015503,0.00081666,0.00084754,0.0001215,0.0010721
0.96602,0.00032353,0.00034314,0.00012053,0.00078312,0.00077581,0.00010455,0.00098856
0.97947,0.00032418,0.00034248,8.9899e-05,0.00075322,0.00071355,9.0498e-05,0.0009153
0.99311,0.00032477,0.00034189,6.2524e-05,0.00072641,0.00065904,7.8753e-05,0.00085053
1.0069,0.0003253,0.00034136,3.7919e-05,0.00070223,0.00061096,6.8855e-05,0.00079288
1.021,0.00032578,0.00034088,1.5734e-05,0.00068031,0.00056827,6.0455e-05,0.00074125
1.0352,0.00032622,0.00034045,5.0961e-06,0.00066036,0.00053013,5.328e-05,0.00069477
