# Transfer Function (TF) from vertical acceleration ground motion [m/s/s] to vertical TM motion [m] for ETMY suspension which has stucked GAS filters at F1, F2, F3.
# This TF is calculated by K.Miyo with "SuspensionModel/release/0.4". (https://github.com/gw-vis/SuspensionModel/tree/release/0.4)
# 
# Frequency[Hz], Magnitude[m/(m/s/s)], Phase[degree]
9.4624,2.8762e-09,66.509
9.5499,2.7831e-09,66.746
9.6383,2.6959e-09,66.981
9.7275,2.6142e-09,67.213
9.8175,2.5378e-09,67.443
9.9083,2.4665e-09,67.67
10,2.4e-09,67.895
10.093,2.3382e-09,68.116
10.186,2.2808e-09,68.335
10.28,2.2278e-09,68.549
10.375,2.179e-09,68.76
10.471,2.1344e-09,68.967
10.568,2.0938e-09,69.169
10.666,2.0571e-09,69.366
10.765,2.0244e-09,69.558
10.864,1.9956e-09,69.743
10.965,1.9708e-09,69.923
11.066,1.95e-09,70.095
11.169,1.9334e-09,70.259
11.272,1.9209e-09,70.414
11.376,1.9129e-09,70.56
11.482,1.9095e-09,70.695
11.588,1.9111e-09,70.817
11.695,1.918e-09,70.926
11.803,1.9307e-09,71.019
11.912,1.9498e-09,71.093
12.023,1.9761e-09,71.147
12.134,2.0105e-09,71.176
12.246,2.0542e-09,71.177
12.359,2.1088e-09,71.144
12.474,2.1763e-09,71.07
12.589,2.2592e-09,70.947
12.706,2.3611e-09,70.763
12.823,2.4868e-09,70.502
12.942,2.6426e-09,70.144
13.062,2.8381e-09,69.658
13.183,3.087e-09,68.999
13.305,3.4102e-09,68.099
13.428,3.8415e-09,66.85
13.552,4.438e-09,65.061
13.677,5.3039e-09,62.385
13.804,6.6466e-09,58.096
13.932,8.9167e-09,50.464
14.06,1.3044e-08,34.682
14.191,1.8355e-08,-0.58465
14.322,1.5485e-08,-44.93
14.454,1.0191e-08,-67.993
14.588,7.209e-09,-78.511
14.723,5.5414e-09,-84.185
14.859,4.5316e-09,-87.74
14.997,3.8892e-09,-90.263
15.136,3.4817e-09,-92.289
15.276,3.2528e-09,-94.171
15.417,3.1996e-09,-96.277
15.56,3.3972e-09,-99.28
15.704,4.1754e-09,-105.33
15.849,7.5608e-09,-129.34
15.996,5.0065e-09,124.87
16.144,1.2696e-09,102.45
16.293,3.6865e-10,96.987
16.444,8.0591e-12,101.91
